,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
0,AL,G100010,Maxwell Afb,722265,32.38,-86.35,36112
1,AL,G100030,Mobile Downtown Ap,722235,30.63,-88.07,36605
2,GA,G100050,Fort Benning Lawson,722250,32.35,-85.0,36856
3,AL,G100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
4,AL,G100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217
5,AL,G100110,Troy Af,722267,31.87,-86.02,
6,AL,G100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043
7,AL,G100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
8,AL,G100170,Auburn Opelika Apt,722284,32.62,-85.43,36801
9,AL,G100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904
10,AL,G100210,Maxwell Afb,722265,32.38,-86.35,36112
11,MS,G100230,Meridian Key Field,722340,32.33,-88.75,39307
12,MS,G100250,Meridian Key Field,722340,32.33,-88.75,39307
13,AL,G100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
14,AL,G100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
15,AL,G100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
16,AL,G100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
17,AL,G100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043
18,AL,G100370,Maxwell Afb,722265,32.38,-86.35,36112
19,AL,G100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
20,AL,G100410,Troy Af,722267,31.87,-86.02,
21,AL,G100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
22,AL,G100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
23,AL,G100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043
24,AL,G100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904
25,AL,G100510,Maxwell Afb,722265,32.38,-86.35,36112
26,AL,G100530,Troy Af,722267,31.87,-86.02,
27,AL,G100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904
28,AL,G100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
29,AL,G100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
30,AL,G100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
31,AL,G100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
32,AL,G100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
33,AL,G100670,Dothan Municipal Ap,722268,31.23,-85.43,36301
34,AL,G100690,Dothan Municipal Ap,722268,31.23,-85.43,36301
35,AL,G100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904
36,AL,G100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217
37,MS,G100750,Columbus Afb,723306,33.65,-88.45,
38,AL,G100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
39,AL,G100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
40,AL,G100810,Auburn Opelika Apt,722284,32.62,-85.43,36801
41,AL,G100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
42,AL,G100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043
43,AL,G100870,Auburn Opelika Apt,722284,32.62,-85.43,36801
44,AL,G100890,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
45,MS,G100910,Meridian Naas,722345,32.55,-88.57,39309
46,AL,G100930,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
47,AL,G100950,Gadsen Muni  Awos,722285,33.97,-86.08,35904
48,AL,G100970,Mobile Regional Ap,722230,30.68,-88.25,36608
49,AL,G100990,Montgomery Dannelly Field,722260,32.3,-86.4,36043
50,AL,G101010,Maxwell Afb,722265,32.38,-86.35,36112
51,AL,G101030,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
52,AL,G101050,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
53,AL,G101070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
54,AL,G101090,Troy Af,722267,31.87,-86.02,
55,AL,G101110,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
56,GA,G101130,Fort Benning Lawson,722250,32.35,-85.0,36856
57,AL,G101150,Birmingham Municipal Ap,722280,33.57,-86.75,35217
58,AL,G101170,Birmingham Municipal Ap,722280,33.57,-86.75,35217
59,MS,G101190,Meridian Naas,722345,32.55,-88.57,39309
60,AL,G101210,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
61,AL,G101230,Auburn Opelika Apt,722284,32.62,-85.43,36801
62,AL,G101250,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
63,AL,G101270,Birmingham Municipal Ap,722280,33.57,-86.75,35217
64,AL,G101290,Mobile Regional Ap,722230,30.68,-88.25,36608
65,AL,G101310,Montgomery Dannelly Field,722260,32.3,-86.4,36043
66,AL,G101330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
67,AK,G200130,Cold Bay Arpt,703160,55.2,-162.72,99571
68,AK,G201850,Barrow W Post W Rogers Arpt  N,700260,71.32,-156.62,
69,AK,G202610,Valdez Pioneer Fiel,702756,61.13,-146.27,
70,NM,G400010,Gallup Sen Clarke Fld,723627,35.52,-108.78,87301
71,AZ,G400030,Douglas Bisbee Douglas Intl A,722735,31.47,-109.6,
72,AZ,G400050,Flagstaff Pulliam Arpt,723755,35.13,-111.67,86005
73,AZ,G400070,Prescott Love Field,723723,34.65,-112.42,
74,AZ,G400090,Safford  Amos,722747,32.82,-109.68,85548
75,AZ,G400110,Safford  Amos,722747,32.82,-109.68,85548
76,AZ,G400130,Phoenix Sky Harbor Intl Ap,722780,33.45,-111.98,85034
77,AZ,G400150,Kingman  Amos,723700,35.27,-113.95,
78,AZ,G400170,Winslow Municipal Ap,723740,35.03,-110.72,86247
79,AZ,G400190,Tucson International Ap,722740,32.13,-110.95,85706
80,AZ,G400210,Casa Granda  Awos,722748,32.95,-111.77,8512
81,AZ,G400230,Bisbee Douglas Intl AP,722720,31.467,-109.6,
82,AZ,G400250,Prescott Love Field,723723,34.65,-112.42,
83,AZ,G400270,Yuma Intl Arpt,722800,32.67,-114.6,85365
84,AR,G500010,Stuttgart  Awos,723416,34.6,-91.57,
85,LA,G500030,Monroe Regional Ap,722486,32.52,-92.03,71211
86,AR,G500050,Flippin  Awos,723447,36.3,-92.47,72635
87,AR,G500070,Bentonville  Awos,723444,36.35,-94.22,72712
88,AR,G500090,Harrison-Boone County Rgnl AP,723450,36.267,-93.15,72601
89,AR,G500110,Pine Bluff Faa Ap,723417,34.17,-91.93,
90,AR,G500130,El Dorado Goodwin Field,723419,33.22,-92.82,
91,AR,G500150,Harrison Faa Ap,723446,36.27,-93.15,72601
92,MS,G500170,Greenville Municipal,722356,33.48,-90.98,38782
93,AR,G500190,Memorial Fld,723415,34.47,-93.1,71913
94,AR,G500210,Walnut Ridge  Awos,723406,36.13,-90.92,
95,AR,G500230,Batesville  Awos,723448,35.73,-91.65,72501
96,AR,G500250,Pine Bluff Faa Ap,723417,34.17,-91.93,
97,AR,G500270,El Dorado Goodwin Field,723419,33.22,-92.82,
98,AR,G500290,Little Rock Afb,723405,34.92,-92.15,72099
99,AR,G500310,Jonesboro Muni,723407,35.83,-90.65,72401
100,AR,G500330,Fort Smith Regional Ap,723440,35.33,-94.37,72903
101,TN,G500350,Memphis International Ap,723340,35.07,-89.98,38131
102,AR,G500370,Jonesboro Muni,723407,35.83,-90.65,72401
103,AR,G500390,Pine Bluff Faa Ap,723417,34.17,-91.93,
104,MS,G500410,Greenville Municipal,722356,33.48,-90.98,38782
105,AR,G500430,Pine Bluff Faa Ap,723417,34.17,-91.93,
106,AR,G500450,Little Rock Afb,723405,34.92,-92.15,72099
107,AR,G500470,Fort Smith Regional Ap,723440,35.33,-94.37,72903
108,AR,G500490,Flippin  Awos,723447,36.3,-92.47,72635
109,AR,G500510,Memorial Fld,723415,34.47,-93.1,71913
110,AR,G500530,Little Rock Adams Field,723403,34.75,-92.23,72114
111,AR,G500550,Jonesboro Muni,723407,35.83,-90.65,72401
112,AR,G500570,Texarkana Webb Field,723418,33.45,-94.0,71854
113,AR,G500590,Memorial Fld,723415,34.47,-93.1,71913
114,AR,G500610,Texarkana Webb Field,723418,33.45,-94.0,71854
115,AR,G500630,Batesville  Awos,723448,35.73,-91.65,72501
116,AR,G500650,Batesville  Awos,723448,35.73,-91.65,72501
117,AR,G500670,Batesville  Awos,723448,35.73,-91.65,72501
118,AR,G500690,Pine Bluff Faa Ap,723417,34.17,-91.93,
119,AR,G500710,Fort Smith Regional Ap,723440,35.33,-94.37,72903
120,AR,G500730,Texarkana Webb Field,723418,33.45,-94.0,71854
121,AR,G500750,Walnut Ridge  Awos,723406,36.13,-90.92,
122,AR,G500770,Stuttgart  Awos,723416,34.6,-91.57,
123,AR,G500790,Pine Bluff Faa Ap,723417,34.17,-91.93,
124,AR,G500810,Texarkana Webb Field,723418,33.45,-94.0,71854
125,AR,G500830,Fort Smith Regional Ap,723440,35.33,-94.37,72903
126,AR,G500850,Little Rock Afb,723405,34.92,-92.15,72099
127,AR,G500870,Springdale Muni,723434,36.18,-94.12,72764
128,AR,G500890,Flippin  Awos,723447,36.3,-92.47,72635
129,AR,G500910,Texarkana Webb Field,723418,33.45,-94.0,71854
130,TN,G500930,Dyersburg Municipal Ap,723347,36.02,-89.4,38024
131,AR,G500950,Stuttgart  Awos,723416,34.6,-91.57,
132,AR,G500970,Memorial Fld,723415,34.47,-93.1,71913
133,AR,G500990,Texarkana Webb Field,723418,33.45,-94.0,71854
134,AR,G501010,Harrison-Boone County Rgnl AP,723450,36.267,-93.15,72601
135,AR,G501030,El Dorado Goodwin Field,723419,33.22,-92.82,
136,AR,G501050,Little Rock Adams Field,723403,34.75,-92.23,72114
137,AR,G501070,Stuttgart  Awos,723416,34.6,-91.57,
138,AR,G501090,Memorial Fld,723415,34.47,-93.1,71913
139,AR,G501110,Jonesboro Muni,723407,35.83,-90.65,72401
140,AR,G501130,Fort Smith Regional Ap,723440,35.33,-94.37,72903
141,AR,G501150,Memorial Fld,723415,34.47,-93.1,71913
142,AR,G501170,Stuttgart  Awos,723416,34.6,-91.57,
143,AR,G501190,Little Rock Adams Field,723403,34.75,-92.23,72114
144,AR,G501210,Walnut Ridge  Awos,723406,36.13,-90.92,
145,TN,G501230,Memphis International Ap,723340,35.07,-89.98,38131
146,AR,G501250,Little Rock Adams Field,723403,34.75,-92.23,72114
147,AR,G501270,Fort Smith Regional Ap,723440,35.33,-94.37,72903
148,AR,G501290,Batesville  Awos,723448,35.73,-91.65,72501
149,AR,G501310,Fort Smith Regional Ap,723440,35.33,-94.37,72903
150,AR,G501330,Texarkana Webb Field,723418,33.45,-94.0,71854
151,AR,G501350,Batesville  Awos,723448,35.73,-91.65,72501
152,AR,G501370,Batesville  Awos,723448,35.73,-91.65,72501
153,AR,G501390,El Dorado Goodwin Field,723419,33.22,-92.82,
154,AR,G501410,Little Rock Afb,723405,34.92,-92.15,72099
155,AR,G501430,Fayetteville Drake Field,723445,36.0,-94.17,72703
156,AR,G501450,Batesville  Awos,723448,35.73,-91.65,72501
157,AR,G501470,Batesville  Awos,723448,35.73,-91.65,72501
158,AR,G501490,Memorial Fld,723415,34.47,-93.1,71913
159,CA,G600010,Hayward Air Term,724935,37.67,-122.12,94541
160,CA,G600030,South Lake Tahoe,725847,38.9,-120.0,96150
161,CA,G600050,South Lake Tahoe,725847,38.9,-120.0,96150
162,CA,G600070,Yuba Co,724838,39.1,-121.57,95961
163,CA,G600090,South Lake Tahoe,725847,38.9,-120.0,96150
164,CA,G600110,Yuba Co,724838,39.1,-121.57,95961
165,CA,G600130,Concord Concord Buchanan Fiel,724936,38.0,-122.05,94520
166,CA,G600150,Crescent City Faa Ai,725946,41.78,-124.23,
167,CA,G600170,South Lake Tahoe,725847,38.9,-120.0,96150
168,CA,G600190,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727
169,CA,G600210,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080
170,CA,G600230,Arcata Airport,725945,40.98,-124.1,95519
171,CA,G600250,Imperial,747185,32.83,-115.58,92251
172,CA,G600270,Bishop Airport,724800,37.37,-118.35,93515
173,CA,G600290,Bakersfield Meadows Field,723840,35.43,-119.05,93302
174,CA,G600310,Lemoore Reeves Nas,747020,36.33,-119.95,
175,CA,G600330,Santa Rosa  Awos,724957,38.52,-122.82,95492
176,CA,G600350,Alturas,725958,41.5,-120.53,
177,CA,G600370,Jack Northrop Fld H,722956,33.92,-118.33,90250
178,CA,G600390,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727
179,CA,G600410,Napa Co  Airport,724955,38.22,-122.28,94503
180,CA,G600430,Merced Macready Fld,724815,37.28,-120.52,95341
181,CA,G600450,Ukiah Municipal Ap,725905,39.13,-123.2,95482
182,CA,G600470,Merced Macready Fld,724815,37.28,-120.52,95341
183,CA,G600490,Alturas,725958,41.5,-120.53,
184,CA,G600510,Bishop Airport,724800,37.37,-118.35,93515
185,CA,G600530,Salinas Muni AP,725930,36.667,-121.6,93905
186,CA,G600550,Napa Co  Airport,724955,38.22,-122.28,94503
187,CA,G600570,Truckee Tahoe,725846,39.32,-120.13,
188,CA,G600590,Santa Ana John Wayne Ap,722977,33.68,-117.87,92626
189,CA,G600610,Beale Afb,724837,39.13,-121.43,95903
190,CA,G600630,Truckee Tahoe,725846,39.32,-120.13,
191,CA,G600650,March Afb,722860,33.9,-117.25,92518
192,CA,G600670,Sacramento Executive Arpt,724830,38.5,-121.5,95822
193,CA,G600690,Salinas Municipal Ap,724917,36.67,-121.6,93905
194,CA,G600710,Riverside Muni,722869,33.95,-117.45,92504
195,CA,G600730,San Diego Miramar Nas,722930,32.87,-117.13,92137
196,CA,G600750,San Francisco Intl Ap,724940,37.62,-122.4,94066
197,CA,G600770,Stockton Metropolitan Arpt,724920,37.9,-121.23,95213
198,CA,G600790,San Luis Co Rgnl,722897,35.23,-120.63,93401
199,CA,G600810,San Francisco Intl Ap,724940,37.62,-122.4,94066
200,CA,G600830,Santa Barbara Municipal Ap,723925,34.43,-119.85,93117
201,CA,G600850,San Jose Intl Ap,724945,37.37,-121.93,95110
202,CA,G600870,San Jose Intl Ap,724945,37.37,-121.93,95110
203,CA,G600890,Redding Municipal Arpt,725920,40.52,-122.32,
204,CA,G600910,Truckee Tahoe,725846,39.32,-120.13,
205,CA,G600930,Montague Siskiyou County Ap,725955,41.78,-122.47,
206,CA,G600950,Travis Field Afb,745160,38.27,-121.93,94535
207,CA,G600970,Santa Rosa  Awos,724957,38.52,-122.82,95492
208,CA,G600990,Modesto City County Ap,724926,37.63,-120.95,95354
209,CA,G601010,Yuba Co,724838,39.1,-121.57,95961
210,CA,G601030,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080
211,CA,G601050,Redding Municipal Arpt,725920,40.52,-122.32,
212,CA,G601070,Visalia Muni  Awos,723896,36.32,-119.4,93227
213,CA,G601090,South Lake Tahoe,725847,38.9,-120.0,96150
214,CA,G601110,Camarillo  Awos,723926,34.22,-119.08,93010
215,CA,G601130,Sacramento Metropolitan Ap,724839,38.7,-121.58,95837
216,CA,G601150,Yuba Co,724838,39.1,-121.57,95961
217,CO,G800010,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
218,CO,G800030,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
219,CO,G800050,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
220,CO,G800070,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
221,NM,G800090,Clayton Municipal Airpark,723600,36.45,-103.15,
222,CO,G800110,La Junta Municipal Ap,724635,38.05,-103.53,81030
223,CO,G800130,Broomfield Jeffco  Boulder   S,724699,40.13,-105.24,80544
224,CO,G800150,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
225,CO,G800170,Lamar Municipal,724636,38.07,-102.68,
226,CO,G800190,Leadville Lake Co,724673,39.22,-106.32,80461
227,CO,G800210,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
228,NM,G800230,Taos Muni Apt Awos,723663,36.45,-105.67,87529
229,CO,G800250,La Junta Municipal Ap,724635,38.05,-103.53,81030
230,CO,G800270,Pueblo Memorial Ap,724640,38.28,-104.5,81006
231,CO,G800290,Montrose Co  Arpt,724765,38.5,-107.9,81401
232,CO,G800310,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
233,CO,G800330,Cortez Montezuma Co,724767,37.3,-108.63,
234,CO,G800350,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
235,CO,G800370,Eagle County Ap,724675,39.65,-106.92,81637
236,CO,G800390,Aurora Buckley Field Angb,724695,39.72,-104.75,80018
237,CO,G800410,Colorado Springs Muni Ap,724660,38.82,-104.72,80916
238,CO,G800430,Colorado Springs Muni Ap,724660,38.82,-104.72,80916
239,CO,G800450,Rifle Garfield Rgnl,725717,39.53,-107.72,81650
240,CO,G800470,Leadville Lake Co,724673,39.22,-106.32,80461
241,CO,G800490,Leadville Lake Co,724673,39.22,-106.32,80461
242,CO,G800510,Gunnison Co   Awos,724677,38.53,-106.93,
243,CO,G800530,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
244,CO,G800550,Pueblo Memorial Ap,724640,38.28,-104.5,81006
245,CO,G800570,Hayden Yampa  Awos,725715,40.48,-107.22,81639
246,CO,G800590,Denver Centennial  Golden   Nr,724666,39.74,-105.18,80401
247,CO,G800610,Lamar Municipal,724636,38.07,-102.68,
248,CO,G800630,Akron Washington Co Ap,724698,40.17,-103.23,80720
249,CO,G800650,Leadville Lake Co,724673,39.22,-106.32,80461
250,CO,G800670,Durango La Plata Co,724625,37.15,-107.75,
251,CO,G800690,Fort Collins  Awos,724769,40.45,-105.02,80538
252,CO,G800710,Trinidad Las Animas County Ap,724645,37.27,-104.33,81046
253,CO,G800730,Limon,724665,39.18,-103.72,
254,CO,G800750,Akron Washington Co Ap,724698,40.17,-103.23,80720
255,CO,G800770,Grand Junction Walker Field,724760,39.13,-108.53,81506
256,CO,G800790,Gunnison Co   Awos,724677,38.53,-106.93,
257,CO,G800810,Craig Moffat,725700,40.5,-107.53,81625
258,CO,G800830,Cortez Montezuma Co,724767,37.3,-108.63,
259,CO,G800850,Montrose Co  Arpt,724765,38.5,-107.9,81401
260,CO,G800870,Akron Washington Co Ap,724698,40.17,-103.23,80720
261,CO,G800890,La Junta Municipal Ap,724635,38.05,-103.53,81030
262,CO,G800910,Eagle County Ap,724675,39.65,-106.92,81637
263,CO,G800930,Leadville Lake Co,724673,39.22,-106.32,80461
264,CO,G800950,Akron Washington Co Ap,724698,40.17,-103.23,80720
265,CO,G800970,Aspen Pitkin Co Sar,724676,39.22,-106.87,81611
266,CO,G800990,Lamar Municipal,724636,38.07,-102.68,
267,CO,G801010,Pueblo Memorial Ap,724640,38.28,-104.5,81006
268,CO,G801030,Craig Moffat,725700,40.5,-107.53,81625
269,CO,G801050,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
270,CO,G801070,Hayden Yampa  Awos,725715,40.48,-107.22,81639
271,CO,G801090,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
272,CO,G801110,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101
273,CO,G801130,Montrose Co  Arpt,724765,38.5,-107.9,81401
274,CO,G801150,Akron Washington Co Ap,724698,40.17,-103.23,80720
275,CO,G801170,Leadville Lake Co,724673,39.22,-106.32,80461
276,CO,G801190,Colorado Springs Muni Ap,724660,38.82,-104.72,80916
277,CO,G801210,Akron Washington Co Ap,724698,40.17,-103.23,80720
278,CO,G801230,Greeley Weld  Awos,724768,40.43,-104.63,
279,CO,G801250,Akron Washington Co Ap,724698,40.17,-103.23,80720
280,CT,G900010,Danbury Municipal,725086,41.37,-73.48,06813
281,CT,G900030,Hartford Brainard Fd,725087,41.73,-72.65,06109
282,CT,G900050,Oxford  Awos,725029,41.48,-73.13,
283,CT,G900070,Hartford Brainard Fd,725087,41.73,-72.65,06109
284,CT,G900090,New Haven Tweed Airport,725045,41.27,-72.88,06512
285,CT,G900110,Groton New London Ap,725046,41.33,-72.05,06340
286,CT,G900130,Hartford Brainard Fd,725087,41.73,-72.65,06109
287,MA,G900150,Worcester Rgnl AP,725100,42.267,-71.883,1602
288,DE,G1000010,Dover Afb,724088,39.13,-75.47,19961
